task_name,challenge_score,status,result_file,log_file,scoring_rule
move_stapler_pad,,dry_run,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset/robotwin_uncond_3cam_384/20260428_213042/move_stapler_pad/_result_random.txt,,完成任务即得到 100% 得分
place_fan,,dry_run,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset/robotwin_uncond_3cam_384/20260428_213042/place_fan/_result_random.txt,,放置成功即得到 100% 得分
handover_mic,,dry_run,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset/robotwin_uncond_3cam_384/20260428_213042/handover_mic/_result_random.txt,,完成 handover 动作即得到 100% 得分
open_microwave,,dry_run,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset/robotwin_uncond_3cam_384/20260428_213042/open_microwave/_result_random.txt,,完成任务得到 100% 得分
place_can_basket,,dry_run,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset/robotwin_uncond_3cam_384/20260428_213042/place_can_basket/_result_random.txt,,完成任务即得到 100% 得分
place_dual_shoes,,dry_run,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset/robotwin_uncond_3cam_384/20260428_213042/place_dual_shoes/_result_random.txt,,完成任务即得到 100% 得分
move_can_pot,,dry_run,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset/robotwin_uncond_3cam_384/20260428_213042/move_can_pot/_result_random.txt,,完成任务得到 100% 得分
stack_blocks_three,,dry_run,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset/robotwin_uncond_3cam_384/20260428_213042/stack_blocks_three/_result_random.txt,,完成第一个堆叠得到 40%，完成任务得到 100%
blocks_ranking_rgb,,dry_run,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset/robotwin_uncond_3cam_384/20260428_213042/blocks_ranking_rgb/_result_random.txt,,完成第一个物块摆放 20%，第二个 60%，第三个 100%
blocks_ranking_size,,dry_run,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset/robotwin_uncond_3cam_384/20260428_213042/blocks_ranking_size/_result_random.txt,,完成第一个物块摆放 20%，第二个 60%，第三个 100%
__overall__,,,,,
